,0,1,2,3,4
36,,,observed on exposure to DBD for 10 min,observed on exposure to DBD for 10 min,
37,,Dielectric barrier discharge plasma at 15 kHz with post,"Complete inactivation of pathogens (E. coli, S. typhimurium","Complete inactivation of pathogens (E. coli, S. typhimurium",Yong et al.
38,,"plasma treatment exposure for 1,3 & 5 min","& L.monocytogenes) was observed in agar medium, when","& L.monocytogenes) was observed in agar medium, when",2015a)
39,,,"treated for 90,60 s & 10 min. Whereas, reduction in","treated for 90,60 s & 10 min. Whereas, reduction in",
40,,,"colonies by 2.88,3.11 & 2.26 log cfu/g was noted for","colonies by 2.88,3.11 & 2.26 log cfu/g was noted for",
41,,,15 min. Dielectric barrier discharge treatment. Post storage,15 min. Dielectric barrier discharge treatment. Post storage,
42,,,duration further displayed reduction in number of colonies,duration further displayed reduction in number of colonies,
43,,Dielectric barrier discharge plasma at 3.5 kV and a bipolar,A significant reduction was observed in E. coli ranging from,A significant reduction was observed in E. coli ranging from,Lee et al.
44,,50 kHz(low frequency range square wave with a 50%,0.09 to 1.47 log and 0.05 to 1.98 log with helium and with,0.09 to 1.47 log and 0.05 to 1.98 log with helium and with,(2012)
45,duty cycle,duty cycle,He/O mixture respectively.The count of S.aureus,He/O mixture respectively.The count of S.aureus,
46,,,decreased ranging from 0.05 to 0.45 log and 0.08 to 0.91 log,decreased ranging from 0.05 to 0.45 log and 0.08 to 0.91 log,
47,,,with helium and with He/O mixture respectively,with helium and with He/O mixture respectively,
