,0,1,2,3,4,5,6,7,8
31,6.872,696.64,C42Hg2NO+,39:1,CoPeO,0.800.010.770.010.790.020.760.01,,,
32,7.503,684.64,C4H2NO+,38:0,"CyCaAr.CyLaS.CyMPCaLaP.CaMM,LaMLa",3.460.19a3.36 0.223.44  0.113.570.22,,,
33,7.640,710.64,C43Hg4NO+,40:1,"CoMPl,CoPaS,CoPO,CyLaPl,CyMO, CyPaP",4.54 0.38a4.56 0.56a4.54  0.25a4.620.30,,,
34,,,,,"CaLaO,CaMPa,CaPMy,LaMMy,LaPaLa",,,,
35,7.878,736.65,C4sH86NO6+,42:2,"CoPaPl, CoOO, CoLS, CyMyPl, CyPaO, CyLP",1.480.091.450.091.470.011.430.05,,,
36,,,,,"CaPaPa,CaOMy,CaLM,LaMyPa,LaLLa",,,,
37,8.202,698.64,C42H4NO+,39:0,"CyCaHen,CyLaN,CyMMa,CyPeP,CaLaMa",0.820.030.800.030.840.020.800.03,,,
38,,,,,CaPeMLaPeLa,,,,
39,8.270,762.65,C47HgNO6+,44:3,"LOCy,LPaCa,LMyLa,PaMyMy",0.300.030.350.020.350.030.330.04,,,
40,8.492,724.64,C44H86NO+,41:1,"CoPePl, CoMaO,CoPaN,CyPeO,CyMaPa",0.450.020.430.030.430.010.420.02,,,
41,,,,,"CaMaMy,CaPaPe",,,,
42,8.663,788.66,C4gHooNO6+,46:4,"CaLnO,CaLL,MyMLn,MyLMy",0.140.010.130.010.130.020.130.10,,,
43,9.191,712.64,C43H6NO6+,40:0,"CyCaBeh,CyLaAr,CyMS,CyPeMa,CyPP,CaLaS,",3.990.223.970.193.950.10,,3.990.223.970.193.950.10,3.880.17
44,,,,,"CaMP,CaPePeLaMM,LaPLa,PSCo",,,,
45,9.362,738.65,C42HggNO6+,42:1,"CyMPl,CyPO,CaLaPl,CaMOCaPPaLaMPa",3.16 0.273.08  0.11a3.10  0.20a,,3.16 0.273.08  0.11a3.10  0.20a,3.080.29
46,,,,,LaPMyLaOLa,,,,
47,9.566,764.65,C4HooNO+,44:1,"CyPaPl, CyOO,CaMyPl,CaPaO,LaMyO,LaPaPa",1.290.041.250.021.280.01,,1.290.041.250.021.280.01,1.220.10
48,,,,,MyPaM,,,,
49,9.925,726.64,C44HgNO6+,41:0,"CaLaN,CaMMaCaPePLaMPeLaMaLa,PMaCy",0.600.04,0.580.02,0.590.02,0.540.04
50,9.959,790.76,C4gHg2NO6+,46:3,"CaLO,CaLnS, LaLPa, LaLnP,MyLM, MyOMy",0.490.04,0.470.03,0.480.04,0.440.02
51,10.129,752.65,C46HgoNO6+,43:1,"CaMNo,CaPeO,CaMaPa,MPeMy,MaOCy",0.410.02a,0.470.04,0.390.02,0.440.01
52,10.521,816.76,CsHg4NO+,48:4,"LaPaD,LaLnO,LaLL,MyPaL,MyLnP,PaLnM",0.14 0.04a,0.130.03,0.130.01,0.100.05
53,11.050,740.65,C45HooNO+,42:0,"CaLaAr,CaMS,CaPP,LaMP,LaSLa,PSCy",2.950.22,3.030.15,2.940.10,3.010.15
54,11.289,766.75,C47Hg2NO6+,44:1,"CaMPl,CaPO,LaMO,LaPPa,MPMy",2.890.21,2.910.10,2.860.12,2.940.21
55,11.511,792.76,C4gH94NO6+,46:2,"CaPaPl,CaOO,LaMyPl,LaPaO,MyPaP,MyOM",1.560.09a,1.500.20,1.540.04a,1.480.05
56,,,,,PaMPa,,,,
