,0,1,2,3,4,5,6,7,8,9,10
19,13,7.81,7.91,7.41,<1,<1,<1,5.56,0.96,"L.paracasei MRS,M17","L.paracasei MRS,M17"
20,14,8.81,8.11,7.67,<1,3.11,2.96,5.52,0.95,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
21,15,7.91,7.74,7.61,<1,<1,3.08,5.52,0.96,"L.casei (MRS),L.paracasei (M17)","L.casei (MRS),L.paracasei (M17)"
22,16,8.26,7.86,7.51,<1,<1,2.81,5.62,0.96,"L.paracasei(MRS,M17)","L.paracasei(MRS,M17)"
23,17,8.08,7.92,7.63,<1,<1,<1,5.46,0.96,"L.paracasei (MRS),S.thermophilus(M17)","L.paracasei (MRS),S.thermophilus(M17)"
24,18,7.98,8.18,7.34,<1,<1,<1,5.36,0.95,"L.paracasei (MRS,M17)","L.paracasei (MRS,M17)"
25,19,7.96,8.26,7.75,<1,<1,<1,5.63,0.96,"L.paracasei (MRS), S. thermophilus (M17)","L.paracasei (MRS), S. thermophilus (M17)"
26,20,8.08,7.93,7.82,<1,<1,<1,5.48,0.96,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
27,,"Dairy 1, Scamorza cheese","Dairy 1, Scamorza cheese",,,,,,,,
28,1,7.94,7.78,7.59,6.58,<1,3.58,4.62,0.97,"L.paracasei (MRS),S.thermophilus(M17),E.faecalis","L.paracasei (MRS),S.thermophilus(M17),E.faecalis"
29,2,8.48,8.17,7.22,4.93,3.21,6.14,5.39,0.98,"L.paracasei (MRS),S.thermophilus (M17),S.hominis,E.faecalis","L.paracasei (MRS),S.thermophilus (M17),S.hominis,E.faecalis"
30,3,7.92,7.65,7.69,5.94,<1,<1,5.43,0.98,"L.paracasei (MRS),S.thermophilus(M17),E.faecalis","L.paracasei (MRS),S.thermophilus(M17),E.faecalis"
31,,"Dairy 2,Caciocavallo cheese","Dairy 2,Caciocavallo cheese","Dairy 2,Caciocavallo cheese",,,,,,,
32,1,8.72,8.76,8.15,3.00,<1,<1,5.41,0.97,"L.paracasei MRS,M17),E.faecalis","L.paracasei MRS,M17),E.faecalis"
33,2,7.74,7.18,6.81,5.32,<1,<1,5.25,0.96,"L.paracasei (MRS),S.thermophilus (M17),E.faecalis","L.paracasei (MRS),S.thermophilus (M17),E.faecalis"
34,3,8.38,6.97,6.72,5.23,<1,<1,5.32,0.97,"L.paracasei (MRS,M17),E.faecalis","L.paracasei (MRS,M17),E.faecalis"
35,4,7.78,7.71,7.41,<1,<1,<1,5.44,0.95,"L.paracasei (MRS,M17)","L.paracasei (MRS,M17)"
36,5,7.89,7.76,7.56,<1,3.21,3.18,5.35,0.95,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
37,6,8.08,8.15,7.97,<1,<1,<1,5.44,0.95,"L.paracasei (MRS,M17)","L.paracasei (MRS,M17)"
38,7,8.43,8.45,8.15,3.20,<1,3.04,5.50,0.95,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
39,8,8.08,7.61,7.34,3.93,<1,3.11,5.28,0.94,"L.paracasei (MRS), S.thermophilus (M17),E.faecalis","L.paracasei (MRS), S.thermophilus (M17),E.faecalis"
40,9,8.28,8.11,7.93,<1,<1,<1,5.32,0.95,"L.paracaseitdcAMRS,M17","L.paracaseitdcAMRS,M17"
41,10,8.59,8.74,8.20,<1,<1,3.40,5.54,0.96,"L.paracasei (MRS), S.thermophilus (M17)","L.paracasei (MRS), S.thermophilus (M17)"
42,11,8.41,8.41,7.98,<1,<1,3.15,5.43,0.96,"L.paracasei (MRS,M17)","L.paracasei (MRS,M17)"
43,12,8.32,8.24,7.88,<1,<1,<1,5.50,0.96,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
44,13,7.86,8.04,7.78,<1,<1,<1,5.55,0.95,"L.paracasei (MRS,M17)","L.paracasei (MRS,M17)"
45,14,8.08,7.63,7.20,2.81,<1,<1,5.23,0.95,"L.paracasei (MRS,M17,E.faecalis","L.paracasei (MRS,M17,E.faecalis"
46,15,8.30,8.11,7.86,2.96,<1,3.92,5.44,0.96,"L.paracasei (MRS,M17),E.faecalis","L.paracasei (MRS,M17),E.faecalis"
47,16,8.20,8.08,7.91,<1,<1,<1,5.52,0.95,"L.paracasei (MRS), S. thermophilus (M17)","L.paracasei (MRS), S. thermophilus (M17)"
48,17,8.69,8.00,7.11,2.96,<1,<1,5.33,0.94,"L.paracasei (MRS,M17),E.faecalis","L.paracasei (MRS,M17),E.faecalis"
49,18,7.75,6.54,6.18,3.04,<1,<1,5.24,0.94,"Pediococcus pentosaceus(MRS),L.paracasei (M17),E.faecalis","Pediococcus pentosaceus(MRS),L.paracasei (M17),E.faecalis"
50,19,8.38,8.15,7.95,<1,<1,3.59,5.28,0.94,"L.paracasei (MRS,M17","L.paracasei (MRS,M17"
